ID,NAME,DESCRIPTION,DOMAIN,LEVEL,PARENT
5.LogicalResource Examples ABE,LogicalResource Examples ABE,,Resource Domain,3,5.Logical Resource ABE
5.Management Information ABE,Management Information ABE,,Resource Domain,3,5.Logical Resource ABE
5.Accounting ABE,Accounting ABE,,Resource Domain,4,5.Management Information ABE
5.Management Method ABE,Management Method ABE,,Resource Domain,4,5.Management Information ABE
5.Performance Info ABE,Performance Info ABE,,Resource Domain,4,5.Management Information ABE
5.Resource State ABE,Resource State ABE,,Resource Domain,4,5.Management Information ABE
5.Resource Statistical ABE,Resource Statistical ABE,,Resource Domain,4,5.Management Information ABE
5.Security ABE,Security ABE,,Resource Domain,4,5.Management Information ABE
5.Service State ABE,Service State ABE,,Resource Domain,4,5.Management Information ABE
5.Service Statistical Info ABE,Service Statistical Info ABE,,Resource Domain,4,5.Management Information ABE
5.Protocol Service ABE,Protocol Service ABE,,Resource Domain,3,5.Logical Resource ABE
5.Bridging Protocols ABE,Bridging Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.LAN Protocols ABE,LAN Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.Management Protocols ABE,Management Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.Routed Protocols ABE,Routed Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.Routing Protocols ABE,Routing Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.Signaling Protocols ABE,Signaling Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.Switching Protocols ABE,Switching Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.WAN Protocols ABE,WAN Protocols ABE,,Resource Domain,4,5.Protocol Service ABE
5.Resource Number ABE,Resource Number ABE,リソース番号ABEには、番号のさまざまな側面を表すために使用されるエンティティが含まれています。このために一般的なクラスがあります。resourceNumberと他のドメインからの他のエンティティとの関係を説明するためのそれぞれの数字でresourceNumberとresourceNumberspecification。,Resource Domain,3,5.Logical Resource ABE
5.Statistics ABE,Statistics ABE,,Resource Domain,3,5.Logical Resource ABE
5.TIP Logical Resource ABE,TIP Logical Resource ABE,,Resource Domain,3,5.Logical Resource ABE
5.Network Resource Fulfillment ABE,Network Resource Fulfillment ABE,,Resource Domain,4,5.TIP Logical Resource ABE
5.Physical Resource ABE,Physical Resource ABE,PYSICALリソースABEは、物理リソースのさまざまな側面を表すために使用されるエンティティを含む。,Resource Domain,2,5.Resource ABE
5.Auxiliary Component ABE,Auxiliary Component ABE,,Resource Domain,3,5.Physical Resource ABE
5.Equipment ABE,Equipment ABE,,Resource Domain,3,5.Physical Resource ABE
5.Equipment Holder ABE,Equipment Holder ABE,,Resource Domain,3,5.Physical Resource ABE
5.HolderAtomic ABE,HolderAtomic ABE,,Resource Domain,4,5.Equipment Holder ABE
5.HolderComposite ABE,HolderComposite ABE,,Resource Domain,4,5.Equipment Holder ABE
5.Hardware ABE,Hardware ABE,,Resource Domain,3,5.Physical Resource ABE
5.Physical Capacity ABE,Physical Capacity ABE,,Resource Domain,3,5.Physical Resource ABE
5.Physical Component ABE,Physical Component ABE,,Resource Domain,3,5.Physical Resource ABE
5.Physical Device ABE,Physical Device ABE,,Resource Domain,3,5.Physical Resource ABE
5.Physical Role ABE,Physical Role ABE,,Resource Domain,3,5.Physical Resource ABE
5.Pysical Role Example ABE,Pysical Role Example ABE,,Resource Domain,4,5.Physical Role ABE
5.ResourceRole System View ABE,ResourceRole System View ABE,,Resource Domain,2,5.Resource ABE
5.TIP Resource ABE,TIP Resource ABE,,Resource Domain,2,5.Resource ABE
5.Network Resource Assurance ABE,Network Resource Assurance ABE,,Resource Domain,3,5.TIP Resource ABE
5.Network Resource Basic ABE,Network Resource Basic ABE,,Resource Domain,3,5.TIP Resource ABE
5.Resource Capacity ABE,Resource Capacity ABE,長期間にわたって数量の量と単位で測定されたリソースドメインエンティティの特定の能力。,Resource Domain,1,5.Resource Domain
5.Resource Configuration ABE,Resource Configuration ABE,リソースが特性特定および関連資源の観点からどのように動作または機能するかの定義、ならびに資源が特性および関連資源の観点からどのように機能または機能するかの表現の表現の定義。,Resource Domain,1,5.Resource Domain
5.Resource Order ABE,Resource Order ABE,リソースオーダーABEには、リソースを提供/更新/削除する要求に関連するエンティティが含まれています。,Resource Domain,1,5.Resource Domain
5.Resource Number Portability ABE,Resource Number Portability ABE,リソース番号移植性ABEには、移植性自体にグループ化されているエンティティが含まれています。これは、ポートのポートのポート、ポートアウト、ポートオーバー、および数字の退職など、含まれるすべてのプロセスを意味します。,Resource Domain,2,5.Resource Order ABE
5.Resource Number Portability Role ABE,Resource Number Portability Role ABE,リソース番号ポータビリティロールABEには、移植性のために登録された役割に関連するエンティティが含まれています。,Resource Domain,2,5.Resource Order ABE
5.Resource Party Roles ABE,Resource Party Roles ABE,リソースパーティーの役割ABEは、技術者、ResourceManagerなどのリソースドメインに関連するすべてのパーティロールを含みます。,Resource Domain,1,5.Resource Domain
5.Resource Performance ABE,Resource Performance ABE,リソースパフォーマンスABEは、さまざまなパフォーマンス統計やリソースエンティティの動作特性を収縮、相関、統合、および検証します。それはパフォーマンスを監視および報告できるエンティティのセットを提供します。このABEのエンティティは、物理的、論理的、および性能情報を提供します。これらの各エンティティはまた、計画された目標に対するネットワーク性能評価を行い、誤り率を含む傾向分析のさまざまな側面を実行し、解析と資源の劣化をもたらします。このABEのエンティティはまたリソース内のトラフィックを管理します。これには、リソースロードの定義統計、およびトラフィックトレンド解析が含まれます。,Resource Domain,1,5.Resource Domain
5.Resource Specification ABE,Resource Specification ABE,リソース仕様ABEには、4つのタイプのリソースエンティティのそれぞれの共有特性と動作を定義するエンティティが含まれています。これにより、複数のインスタンスを単一の仕様エンティティから派生させることができます。この派生では、各インスタンスは、その関連テンプレートで定義されている共有特性と動作を使用します。,Resource Domain,1,5.Resource Domain
5.CompoundResource Specification ABE,CompoundResource Specification ABE,ComponeResource指定ABEは、ComponeResourceの不変特性と動作（属性、メソッド、制約、および関係）を定義するために使用されます。,Resource Domain,2,5.Resource Specification ABE
5.LogicalResource Specification ABE,LogicalResource Specification ABE,論理リソース仕様ABEは、LogicalResourceの不変特性と動作（属性、メソッド、制約、および関係）を定義するために使用されます。,Resource Domain,2,5.Resource Specification ABE
5.Logical Role Specification ABE,Logical Role Specification ABE,,Resource Domain,3,5.LogicalResource Specification ABE
5.LogicalResource Spec Examples ABE,LogicalResource Spec Examples ABE,LogicalResourcespecの例ABEには、LogicalResourcespecsの明示的なモデリングの例が含まれています。,Resource Domain,3,5.LogicalResource Specification ABE
5.Software Resource and Software Specifications ABE,Software Resource and Software Specifications ABE,,Resource Domain,3,5.LogicalResource Specification ABE
5.Software Resource Specification ABE,Software Resource Specification ABE,属性値がそれに関連するSoftWarEresourceのインスタンスごとに属性値が共有されているSoftWareResourcessecificationの定義。このエンティティはスーパークラスです,Resource Domain,4,5.Software Resource and Software Specifications ABE
5.Software Specification ABE,Software Specification ABE,,Resource Domain,4,5.Software Resource and Software Specifications ABE
5.PhysicalResource Specification ABE,PhysicalResource Specification ABE,物理リソース仕様ABEは、物理リソースの不変特性と動作（属性、メソッド、制約、および関係）を記述します。,Resource Domain,2,5.Resource Specification ABE
5.Physical Role Specification ABE,Physical Role Specification ABE,,Resource Domain,3,5.PhysicalResource Specification ABE
5.Resource Catalog ABE,Resource Catalog ABE,ResourcePecificationsを含むResourceCatalogとカタログの仕様を表すエンティティのコレクション。,Resource Domain,2,5.Resource Specification ABE
5.Resource Strategy & Plan ABE,Resource Strategy & Plan ABE,リソース戦略＆プランABEは、最初に、そして成長の両方でネットワークとリソース要素を計画するために使用されます。論理リソースの成長と物理的なリソースの成長の両方を調整します。入力は、ビジネスソース、サービス予測、現在および予測されたネットワーク利用、新技術、および引退技術の予算です。論理リソースと物理リソースの両方のライフサイクル（インストール、修正、削除、および退職）を処理します。,Resource Domain,1,5.Resource Domain
5.Resource Test ABE,Resource Test ABE,リソーステストABEには、PhysicalResources、LogicalResources、およびCompinationResourcesのテストに使用されるエンティティが含まれています。これらのエンティティは通常、トラブル診断の一部またはトラブル修理が完了した後に、インストール中に呼び出されます。,Resource Domain,1,5.Resource Domain
5.Resource Topology ABE,Resource Topology ABE,リソーストポロジABEには、物理​​的、論理的、およびネットワークのトポロジ情報を定義するエンティティが含まれています。この情報は、ネットワークの現在の状態を評価するために重要であり、問​​題、能力の調整、および一般にネットワークとの関係の情報を提供するだけでなく、（全体としてもそのコンポーネントを持つ）という情報を提供するために重要です。これらのトポロジービューのそれぞれは、階層化ネットワーク内の1つまたは複数のレイヤを管理するために使用できる独自の物理的、論理的、またはネットワーク関連の情報を提供します。,Resource Domain,1,5.Resource Domain
5.Resource Trouble ABE,Resource Trouble ABE,リソーストラブルABEは、問題が物理的または論理的であるかどうかにかかわらず、割り当てられたリソースインスタンスで見つかった問題を管理します。このABEの事業体はこれらの問題を検出し、彼らの根本原因を決定し、これらの問題を解決し、問題の診断と解決に関わる活動の歴史を維持するために行動します。問題の検出は、ソフトウェア（例えば、警報に応答する）および/またはハードウェア（例えば、測定またはプローブ）および/または手動（例えば目視検査）を介して行うことができる。これには、追跡、報告、問題、テスト、検証、および修理活動の全体的な管理を修正するための人々の割り当てが含まれます。,Resource Domain,1,5.Resource Domain
5.Alarm ABE,Alarm ABE,,Resource Domain,2,5.Resource Trouble ABE
5.Alarm Severity Assignment Profile ABE,Alarm Severity Assignment Profile ABE,,Resource Domain,2,5.Resource Trouble ABE
5.Resource Usage ABE,Resource Usage ABE,リソース使用量ABEはリソース消費データを収集し、他のビジネスエンティティで使用するためのリソース使用量レコードを生成します。このABEのエンティティは、物理的、論理的、およびネットワークの使用状況情報を提供します。,Resource Domain,1,5.Resource Domain
5.Stock Item ABE,Stock Item ABE,在庫品目ABEは、サプライチェーンに必要なすべての情報をカバーしています。それは含まれています•在庫品目カタログ•倉庫に保存されている在庫品•在庫品目の移動（受信または出荷）,Resource Domain,1,5.Resource Domain
6.Business Partner Domain,Business Partner Domain,ビジネスパートナドメインは、締約国（例えば、個人/組織など）によって行われた役割、情報、および活動を表し、戦略的計画、定義、開発、運用面およびビジネスパートナーとのあらゆる種類の連絡先（例えば、サプライヤー、パートナーなど）企業が事業を運営するために協力している。活動には、ビジネスパートナの管理が含まれます。戦略、機能、価値の提案、関係、プロファイル、データ、プライバシー、セキュリティ、相互作用、コミュニケーション、入札、契約、注文、求職、資料、アカウント、残高、在庫、調整、サービスレベル契約（ SLA）、トレーニング、問題、ケース、請求書、支払い、収益、紛争、コレクション、ロイヤルティ、パフォーマンス、利用統計、分析、およびビジネスパートナーの支援、納得、取得、使用、サポート、購入、支払い、支払う彼らが提供および/または企業から入手する商品およびサービス（製品）。ビジネスパートナーは、企業（すなわちサービスプロバイダ）が何らかの形の協調提携を有する商業当事者である。この関係は、両方の当事者が第三者と同盟国ではなく、関連当事者のゆるい配置に委託する正式な契約専用債券の範囲であり得る。ビジネスパートナドメイン情報と活動の多くは、基礎ドメイン内で定義されている一般化概念のビジネスパートナの役割固有の専門化です。,Business Partner Domain,0,top
6.Applied Party Billing Rate ABE,Applied Party Billing Rate ABE,このABEはまだ暫定的です,Business Partner Domain,1,6.Business Partner Domain
6.Business Partner Account ABE,Business Partner Account ABE,ビジネスパートナアカウントABEはアカウントABEから継承し、アカウントを説明する基本属性と関係を指定するために必要なすべてのエンティティを含みます。それはまたBusinessPartnerのコンテキストの特異性を表します。,Business Partner Domain,1,6.Business Partner Domain
6.Business Partner Party Roles ABE,Business Partner Party Roles ABE,ビジネスパートナパーティーの役割ABEは、パートナーの役割と関連情報を管理します。,Business Partner Domain,1,6.Business Partner Domain
6.Business Partner Product Order ABE,Business Partner Product Order ABE,"ビジネスパートナーの製品注文ABEには、サービスプロバイダーのProductOfferingのコンテキストで、1つまたは複数の製品を調達、更新、または削除するために使用される通信を指定するために必要なすべてのエンティティが含まれています。
ノート：
すべての企業が契約の種類になる注文を検討するものもあります。 SIDモデルの観点からは、契約と協定の関係と協定の関係と協定関係によって注文を形式化することができます。この哲学は、2つの異なる概念を明確に分けるという利点を持っています：注文に関連する法的形式からの順序。たとえば、複数の注文は同じ契約を参照することがあります。",Business Partner Domain,1,6.Business Partner Domain
6.Party Bill ABE,Party Bill ABE,このABEはまだ暫定的です,Business Partner Domain,1,6.Business Partner Domain
6.Party Billing Credit ABE,Party Billing Credit ABE,,Business Partner Domain,2,6.Party Bill ABE
6.Party Billing Statistic ABE,Party Billing Statistic ABE,,Business Partner Domain,2,6.Party Bill ABE
6.Party Bill Collection ABE,Party Bill Collection ABE,"パーティーBill Collection ABEは、信用違反、期限切れ債務（督促）、およびBusinessPartnerPaymentに関連するもののすべてを処理します。
このABEはまだ暫定的なものですが、ABEビジネスパートナの支払いは検証されています
PartyPaymentおよび関連するビジネスエンティティについて詳しくは、共通のガイドブックを参照してください。",Business Partner Domain,1,6.Business Partner Domain
6.Business Partner Payment ABE,Business Partner Payment ABE,ビジネスパートナーABEには、CSPとビジネスパートナの間の富の移転の説明が含まれています。,Business Partner Domain,2,6.Party Bill Collection ABE
6.Dunning ABE,Dunning ABE,CSPがサプライヤから督促状に従うかどうかを確認する,Business Partner Domain,2,6.Party Bill Collection ABE
6.Party Interaction ABE,Party Interaction ABE,"パーティーインタラクションABEは、当事者との通信、および順序の作成、請求書の問い合わせの作成、または問題の作成など、要求と照会の適切な「イベント」への翻訳を表します。
このABEはまだ暫定的です",Business Partner Domain,1,6.Business Partner Domain
6.Party Problem ABE,Party Problem ABE,"他の当事者に報告されている技術援助と問題処理に焦点を当てています。
このABEはまだ暫定的です",Business Partner Domain,1,6.Business Partner Domain
6.Party Product Specification and Offering ABE,Party Product Specification and Offering ABE,Party製品仕様とABEの提供は、役割の再生締約国に、製品専用と製品の製品を順守して請求され、その請求などの製品の提供を表しています。サブアバは、2つのドメイン内のエンティティの交差点を表します。たとえば、PartyRoleProductofferingは、ProductOfferingとPartyRoleエンティティ間の交差点です。 •これらのABESは、製品の特定と製品の製品が搭乗され、企業によって市場に提供されている場合、または製品が別の当事者から調達されたときにのみ提供されます。 •abesは、ライフサイクルを管理するプロセスを含むドメインに存在する必要があります。 ABESのライフサイクルを管理するプロセス（エンティティを使用する/更新/削除エンティティを使用するものと削除）は、別のパーティーからのオンボードおよびオフボード製品の製品などのビジネスパートナドメインにあります。,Business Partner Domain,1,6.Business Partner Domain
6.Party Role Product Offering ABE,Party Role Product Offering ABE,ABEを提供するパーティーロール製品は、役割がProductOfferings with withの関与締約国を表しています。,Business Partner Domain,2,6.Party Product Specification and Offering ABE
6.Example Party Role Product Offering Entities ABE,Example Party Role Product Offering Entities ABE,パーティの役割製品の提供製品の提供ABEには、PartyRoleProductofferingsのより明確なモデリングの例が含まれています。,Business Partner Domain,3,6.Party Role Product Offering ABE
6.Party Role Product Specification ABE,Party Role Product Specification ABE,Party Role Product Specification ABEは、役割が製品専用の関与締約国を表します。,Business Partner Domain,2,6.Party Product Specification and Offering ABE
6.Example Party Role Product Spec Entities ABE,Example Party Role Product Spec Entities ABE,パーティの役割製品仕様エンティティABEには、PartyRoleProductspecificationのより明確なモデリングの例が含まれています。,Business Partner Domain,3,6.Party Role Product Specification ABE
6.Party Revenue & Settlement ABE,Party Revenue & Settlement ABE,"党収益と和解A​​BEは、収益の共有と和解で構成されています。
ABEパーティーの決済はまだ予備的です。",Business Partner Domain,1,6.Business Partner Domain
6.Party Revenue Sharing ABE,Party Revenue Sharing ABE,収益の分配は収益の分配、パートナー、会社の従業員、または企業間の企業間であるステークホルダー間の企業の間の企業に対する顧客またはその他の当事者によって支払われる金額の配布です。収益分配の目的は、関係者に関連する当事者に共有収益を使用しています。収益が企業と1人以上の締約国によって共有される前に、彼らは関与する当事者間での収益がどのように共有されるかを特定する党収入分配契約に入ります。当事者の収益分担ABEには、パーティー収入分担モデル、党収益分配契約、党収益株式、および党収益共有調整が含まれています。当事者収益分配モデルには、1つ以上の他の当事者との収益が企業によってどのように共有されているかを定義する収益共有モデルが含まれています。収益共有モデルは重要な要素収益分配契約です。当事者の収益分配契約ABEは、企業と製品の製品が企業によって何らかの形で利用可能にされている他の1人以上の関係者との間で収益がどのように共有されるかを指定する契約を含んでいます。当事者収益シェアABEは、使用法、請求書、商品価格、および収益が共有される方法を指定する既存の成果物を使用しています。当事者の収益株式調整ABEは、2組の党収入共有記録に対する整合と合意を表します。各ABEは、今後のセクションでさらに説明される。,Business Partner Domain,2,6.Party Revenue & Settlement ABE
6.Party Revenue Share ABE,Party Revenue Share ABE,当事者の収益株式ABEは、収益分配契約に関与する当事者間で共有されている収益量を表しています。収益シェアは、使用法、請求書、商品価格、および適用請求率などの既存のアーティファクトを使用して決定されます。収益シェアは、パーティーやパーティーの請求書/請求書への支払いをもたらす可能性があります。また、当事者から送受信された請求書/請求書、または当事者の口座残高へのクレジット/デビットの削減または増加として表示されてもよい。収入共有モデルは、企業や他の当事者の間でどのように分割される可能性があるかを決定するさまざまな収益共有モデルがあります。収益共有モデルの種類に基づいて、さまざまな決定要因が最終的な請求書/請求書または支払いを計算するために使用されます。定額料金と使用状況に基づく収益モデルは、ティアリング、コミットメント、プログレッシブ、それぞれのマルチパーティのバリエーションと共にこれらに限定されない、数多くのモデルだけです。パーティーの収益分配契約は、製品提供の収益シェアが決定される期間を定義しています。,Business Partner Domain,3,6.Party Revenue Sharing ABE
6.Party Revenue Share Reconciliation ABE,Party Revenue Share Reconciliation ABE,当事者収益分配調整ABEは、2組の党収入共有記録を整列させ合意していることを保証します。たとえば、企業は、当事者の収益に含まれている当事者と共有されていると判断された収益シェアと比較された他の当事者からの請求書を受け取ることができます。調整には、支払われるもの、請求書または口座残高、食い違いの識別、解決、売上高の調整、および不一致の解決の追跡の識別、承認、貸借対照表の比較が含まれます。,Business Partner Domain,3,6.Party Revenue Sharing ABE
6.Party Revenue Sharing Agreement ABE,Party Revenue Sharing Agreement ABE,当事者収益分配契約ABEは、企業が企業によって何らかの方法で利用可能にされる企業と1人以上の他の締約国の間で収益がどのように共有されるかを指定する契約を表します。たとえば、企業は、他の当事者に代わって製品を利用可能にしたり、自分のオファリングを開発するための他のパーティーのオファーを使用したりすることがあります。 1つ以上の当事者との収益分配契約に参入するための基礎として使用されるテンプレートパーティーの収益分配契約が含まれています。それは、継承、該当する契約承認承認、契約書、契約額などを使用します。 ABEの焦点は、契約の項目と契約の項目を関連付け、契約項目の更新と、修正をモデルに関連付けて契約項目に関連付けることで、契約契約項目を契約と更新しています。,Business Partner Domain,3,6.Party Revenue Sharing ABE
6.Party Revenue Sharing Model ABE,Party Revenue Sharing Model ABE,当事者収益共有モデルABEには、パーティー収入共有モデルとその仕様が含まれており、その仕様は、収益が1つ以上の他の当事者と企業によってどのように共有されているかを定義します。収益共有モデルは重要な要素収益分配契約です。商品提供価格ABEエンティティは、売上高の金額を表すために使用されます。たとえば、企業はオファリングのために10ユーロを請求し、Application Developerなどの別のパーティーでフラット4ユーロを共有することがあります。設定可能な製品のために、売上高は、オファリングを獲得したパーティーによって選択されたそれらの機能に依存するかもしれません。この場合、共有された収益はパーティーの製品の構成によっても支配されています。,Business Partner Domain,3,6.Party Revenue Sharing ABE
6.Party Settlement ABE,Party Settlement ABE,それは、提供された製品/サービス/リソースの使用/繰り返し手数料の結果として、企業または当事者が企業に支払われる金額を表す企業のグループです。 PartySetterMetは契約によって管理されており、企業やその他のMVNOS、ディーラー、小売業者、コンテンツプロバイダーなどの間に作成できます。,Business Partner Domain,2,6.Party Revenue & Settlement ABE
6.Party Service Level Agreement ABE,Party Service Level Agreement ABE,"パーティーサービスレベル契約ABEは、他の1つ以上の当事者を持つSLAを表します。詳細については協定ABEを参照してください。
このABEはまだ暫定的です",Business Partner Domain,1,6.Business Partner Domain
6.Party Statistic ABE,Party Statistic ABE,"パーティー統計ABEは、パーティー使用パターン、収益性統計の分析を表します。
このABEは完全には開発されていません",Business Partner Domain,1,6.Business Partner Domain
6.Party Strategy & Plan ABE,Party Strategy & Plan ABE,"Marketsales、Party Performance、競合他社の分析など、他のABESからの入力を伴う他の当事者とのビジネス関係の戦略と計画。
このABEは完全には開発されていません",Business Partner Domain,1,6.Business Partner Domain
8.Common Domain,Common Domain,一般的なドメインは、他のFrameWorxドメインをサポートし、（一般的な）または「所有する」に固有のものではないビジネスロール、情報、および活動（事業体、ビジネスプロセス、機能、論理アプリケーション、インタフェース、メトリックなど）を表します。特定のドメイン、または2つ以上の他のドメインから参照または利用されている。,Common Domain,0,top
8.Account ABE,Account ABE,アカウントABEには、アカウントを説明する基本属性と関係を指定するために必要なすべてのエンティティが含まれています。,Common Domain,1,8.Common Domain
8.Agreement ABE,Agreement ABE,契約は、サービスレベル契約や顧客価格契約など、書面または口頭であり、時には法律によって執行可能な契約または取り決めを表しています。合意には、製品、サービス、および資源などの他の多くの事業体、および/またはその仕様が含まれます。,Common Domain,1,8.Common Domain
8.Commitment ABE,Commitment ABE,ビジネスインタラクションABEから派生したコミットメントABEは、サービス、製品、資源、あるいはその他の納品についての締約国間の相互合意を反映しています。コミットメント調達の役割,Common Domain,2,8.Agreement ABE
8.Base Types ABE,Base Types ABE,お金や日付範囲のような小さな単純なオブジェクト。平等は身元に基づいていません。,Common Domain,1,8.Common Domain
8.Base Types Example ABE,Base Types Example ABE,属性の種類の基本タイプエンティティの使用例,Common Domain,2,8.Base Types ABE
8.Business Interaction ABE,Business Interaction ABE,ビジネスインタラクションABEは、企業と個人や組織（または組織の一部）などの1つ以上の他の事業体との間の配置、契約、または通信を表しています。インタラクションは、要求、応答、および通知の形式を取ります。,Common Domain,1,8.Common Domain
8.Disputed Amount ABE,Disputed Amount ABE,企業を支払う必要がある金額を変更するための外部パーティー（顧客または他の従事者）による要求。,Common Domain,2,8.Business Interaction ABE
8.Calendar ABE,Calendar ABE,時間関連機能を提供するために使用されるエンティティを表します。これには、スケジューリング、時間の競合、および時間ベースのプレゼンテーションサポートが含まれます。,Common Domain,1,8.Common Domain
8.Schedule Definition ABE,Schedule Definition ABE,,Common Domain,2,8.Calendar ABE
8.Capacity ABE,Capacity ABE,一般化されたABEと製品、サービス、および資源に対する能力と需要の需要を提供する特殊化。容量はある程度の機能を提供する能力です。例えば、ネットワーク容量の1つの尺度は、5月の月の間に一定量の帯域幅を提供するためのネットワークの能力である。,Common Domain,1,8.Common Domain
8.Catalog ABE,Catalog ABE,エンティティ、連合、製品、サービス、およびリソースカタログABESのコンポーネントによって共通のカタログ仕様およびカタログエンティティ、属性、および関連付けを表す一般化ABE。,Common Domain,1,8.Common Domain
8.Entity Catalog ABE,Entity Catalog ABE,エンティティカタログABEは、仕様とエンティティとその属性、およびEntityCatalogSpecification、FederatedCatalogSpecification、EntityCatalog、およびFederatedCatalogの関連付けを表します。,Common Domain,2,8.Catalog ABE
8.Communication Interaction ABE,Communication Interaction ABE,通信対話ABEは、ある期間中に2つ以上の人間および/またはマシン間の通信中の情報の交換を記述する通信インタランスを特定するために必要なすべてのエンティティを含む。コミュニケーションインターラクションは、顧客、サプライヤー...またはリソースの役割を果たす締約国に関係している可能性があります。したがって、ABE«CommunicationInteraction ABE»は、«共通のビジネスエンティティドメイン»にあります。,Common Domain,1,8.Common Domain
8.Configuration and Profiling ABE,Configuration and Profiling ABE,構成（プロファイルとも呼ばれる）は、特性仕様および関連製品/サービス/リソースの仕様および特性および関連製品/サービス/リソースエンティティに関して、リソース、サービス、または製品がどのように機能または機能するかを定義しています。構成は、1つ以上の部分を含んでいてもよい（原子/複合パターンを使用することによって実現されるが、単一のエンティティ構成回復として表される）、各部分は0以上のフィールドを含み得る。各フィールドは、静的または動的に定義されている属性を持つことができます。これらのフィールドのいくつかは固定値を持ち、他のものは選択され得る値（例えば、EntitySpec / Entityおよび/またはPassityPec / PassityValueパターンを使用して）を実行できる値を提供します。,Common Domain,1,8.Common Domain
8.Digital Identity ABE,Digital Identity ABE,.\doc\Figure DI.02 - Credential Hierarchy.docx,Common Domain,1,8.Common Domain
8.Location ABE,Location ABE,位置ABEは、顧客の住所、障害がある機器の現場など、設備のサイトや、機器を修理することができる最寄りの人物などのサイトや位置を表しています。場所は、座標および/またはアドレスおよび/または物理的表現の形をとることができる。,Common Domain,1,8.Common Domain
8.Geographic Place ABE,Geographic Place ABE,地理的な場所を定義し、それをマップにマークするか、またはアドレスを指定することを可能にするために使用されるエンティティのグループ。,Common Domain,2,8.Location ABE
8.Geographic Address ABE,Geographic Address ABE,場所の地理的アドレスを表すために使用されるエンティティのグループ。,Common Domain,3,8.Geographic Place ABE
8.Symbology ABE,Symbology ABE,線、表面、点などの一連のオブジェクトは、何かを表すために使用されます。,Common Domain,3,8.Geographic Place ABE
8.Local Place ABE,Local Place ABE,地域座標系に関係がある場所を決定する一連のエンティティ。それはSIDモデルの他の部分へのリンクポイントを提供します。,Common Domain,2,8.Location ABE
8.OpenGisSFS ABE,OpenGisSFS ABE,企業、政府機関、および大学で構成された国際業界コンソーシアムで定義された幾何学的標準（OGC）で定義されている一連の企業、政府機関、および大学は、公に利用可能なインターフェース基準を開発するためのコンセンサスプロセスに参加しています。,Common Domain,2,8.Location ABE
8.Metric ABE,Metric ABE,メトリックABEは、単位と値を含む測定基準、および値がどのように決定されるかを定義します。それはまた、メトリックを評価するために使用されるしきい値としきい値に違反した結果を含みます。他のプロジェクトは、Metric Abeを何らかの形で使用して専門とし、PM（Performance Management）、RA（収益保証）、SLA（サービスレベル契約）などのメトリックABEを使用して専門としています。,Common Domain,1,8.Common Domain
8.Example Metric Entities ABE,Example Metric Entities ABE,これはメートル基本例を含むABEです,Common Domain,2,8.Metric ABE
8.Metric Definition ABE,Metric Definition ABE,メトリック定義ABEには、MetricDefinition自体、MetricDefinitionCategory、MetricDefinitionDimensionなどのメトリック定義を説明する主なエンティティが含まれています。,Common Domain,2,8.Metric ABE
8.Metric Definition Dimension ABE,Metric Definition Dimension ABE,メトリック定義ディメンションABEには、メトリックコンテキスト内のディメンションを記述するすべてのエンティティが含まれています。,Common Domain,3,8.Metric Definition ABE
8.Metric Definition Measure ABE,Metric Definition Measure ABE,MetricDefMeasureは、エンティティの特定の側面の尺度を指定し、メトリック定義の主要部分です。メトリック定義メジャーABEには、関連しきい値、通知、および結果などのMetricDefMeasureを記述するすべてのエンティティが含まれています。,Common Domain,2,8.Metric ABE
8.Metric Definition Measure Threshold ABE,Metric Definition Measure Threshold ABE,メトリック定義メジャースレッショルドABEには、MetricDefMeasureに使用されるしきい値を記述するすべてのエンティティが含まれています。,Common Domain,3,8.Metric Definition Measure ABE
8.Metric Measure ABE,Metric Measure ABE,メトリックメジャーABEは、メトリグメトリックなどのメトリック定義に従って措置を記述するエンティティを含む。,Common Domain,2,8.Metric ABE
8.Metric Monitoring ABE,Metric Monitoring ABE,メトリック監視ABEには、MetricMeasurementJobなどのメトリック措置の監視を可能にするすべてのエンティティが含まれています。,Common Domain,2,8.Metric ABE
8.Metric Collection ABE,Metric Collection ABE,メトリック収集ABEは初期化されていますが、反復中にさらに研究されていなければなりません。,Common Domain,3,8.Metric Monitoring ABE
8.Metric Job ABE,Metric Job ABE,メトリックジョブABEには、メトリックの測定ジョブの違いの種類に対応するエンティティが含まれています。,Common Domain,3,8.Metric Monitoring ABE
